FLOPs,Loss,Accuracy
29976000000,0.022935279577970504,0.129375
59952000000,0.022806571930646898,0.190625
89928000000,0.022656674414873124,0.296875
119904000000,0.02246580609679222,0.3925
149880000000,0.0222029133439064,0.448125
179856000000,0.02181631189584732,0.4815
209832000000,0.021221497535705566,0.4855
239808000000,0.020311432272195815,0.475
269784000000,0.01905650305747986,0.463
299760000000,0.017618769481778145,0.46025
329736000000,0.016208527624607085,0.467625
359712000000,0.014973126247525215,0.490875
389688000000,0.013933040335774421,0.533875
419664000000,0.013008695915341378,0.5805
449640000000,0.012140384376049041,0.6225
479616000000,0.011304157204926014,0.657875
509592000000,0.010504937045276165,0.69775
539568000000,0.009752538949251176,0.734
569544000000,0.00905902687460184,0.763125
599520000000,0.008430759653449058,0.783875
629496000000,0.007886081889271736,0.797875
659472000000,0.0074119166508316995,0.809625
689448000000,0.007012736134231091,0.815375
719424000000,0.006670106746256351,0.823375
749400000000,0.0063800190463662145,0.82775
779376000000,0.006130775347352028,0.83425
809352000000,0.005912730146199465,0.8385
839328000000,0.005722291737794876,0.842625
869304000000,0.005559792187064886,0.846625
899280000000,0.0054086830280721185,0.848625
929256000000,0.005274012833833695,0.8515
959232000000,0.0051577075608074665,0.85425
989208000000,0.005046026244759559,0.8555
1019184000000,0.0049468173384666445,0.858125
1049160000000,0.004854245994240045,0.860375
1079136000000,0.004771433901041746,0.862125
1109112000000,0.0046929379366338255,0.864125
1139088000000,0.004618926145136357,0.86625
1169064000000,0.0045530001521110535,0.868
1199040000000,0.004488804828375578,0.87075
1229016000000,0.004429659347981215,0.872875
1258992000000,0.004371912181377411,0.87425
1288968000000,0.0043182366192340855,0.87575
1318944000000,0.004267657559365034,0.8765
1348920000000,0.004216311566531658,0.87725
1378896000000,0.004171547323465348,0.879375
1408872000000,0.004123161762952804,0.88
1438848000000,0.004080255560576916,0.8815
1468824000000,0.004036827879026532,0.883125
1498800000000,0.003994583815336228,0.884375
1528776000000,0.003956514047458768,0.88575
1558752000000,0.003918672496452927,0.88675
1588728000000,0.003878185525536537,0.889
1618704000000,0.003842998284846544,0.889375
1648680000000,0.0038079703208059074,0.890375
1678656000000,0.0037729663103818895,0.891
1708632000000,0.0037373553663492204,0.89225
1738608000000,0.003702469516545534,0.89375
1768584000000,0.003668959556147456,0.89375
1798560000000,0.0036370797846466303,0.8955
1828536000000,0.003607093445956707,0.8945
1858512000000,0.00357551484555006,0.89675
1888488000000,0.0035436935145407916,0.897375
1918464000000,0.0035134657230228186,0.8985
1948440000000,0.0034885625168681145,0.8985
1978416000000,0.0034597336016595364,0.89825
2008392000000,0.0034298225902020933,0.8985
2038368000000,0.0034027583431452514,0.898875
2068344000000,0.003375322984531522,0.900875
2098320000000,0.0033493525721132755,0.901
2128296000000,0.0033209827784448863,0.9025
2158272000000,0.003297991581261158,0.902625
2188248000000,0.003276134265586734,0.903
2218224000000,0.003254459772258997,0.90325
2248200000000,0.0032323027011007073,0.9045
2278176000000,0.0032069455813616516,0.90525
2308152000000,0.003184847291558981,0.905375
2338128000000,0.0031615555342286825,0.90575
2368104000000,0.00314306927472353,0.9065
2398080000000,0.003121143884956837,0.906875
2428056000000,0.003097783800214529,0.907875
2458032000000,0.0030796295050531624,0.908875
2488008000000,0.003059669898822904,0.909875
2517984000000,0.003037607066333294,0.910375
2547960000000,0.003017131058499217,0.91075
2577936000000,0.0029950953554362058,0.910625
2607912000000,0.002981565177440643,0.912125
2637888000000,0.0029606992229819296,0.912625
2667864000000,0.0029415145255625246,0.9135
2697840000000,0.0029272910300642252,0.91475
2727816000000,0.0029068047665059566,0.9155
2757792000000,0.0028878276832401753,0.915
2787768000000,0.002871358556672931,0.915875
2817744000000,0.00285296637378633,0.91675
2847720000000,0.002842664562165737,0.9175
2877696000000,0.002820921638980508,0.91725
2907672000000,0.002804744241759181,0.918375
2937648000000,0.0027866419944912197,0.9185
2967624000000,0.0027711103707551954,0.9195
2997600000000,0.002754732659086585,0.920125
3027576000000,0.0027426215801388027,0.92025
3057552000000,0.0027226352747529744,0.920375
3087528000000,0.0027077433038502933,0.920875
3117504000000,0.002690056964755058,0.92125
3147480000000,0.0026706850528717043,0.921625
3177456000000,0.0026588895581662656,0.922375
3207432000000,0.0026448208540678026,0.923
3237408000000,0.002627981375902891,0.923625
3267384000000,0.0026120600271970036,0.923625
3297360000000,0.002600159214809537,0.925375
3327336000000,0.002581908179447055,0.925125
3357312000000,0.0025682827774435282,0.926125
3387288000000,0.0025496937911957504,0.92575
3417264000000,0.0025345285870134833,0.926875
3447240000000,0.002518136804923415,0.926625
3477216000000,0.0025063547305762767,0.92825
3507192000000,0.0024915331359952686,0.927625
3537168000000,0.002475346784107387,0.928625
3567144000000,0.002460176473483443,0.929375
3597120000000,0.0024486007587984204,0.929
3627096000000,0.00243392167519778,0.930625
3657072000000,0.0024186370093375446,0.931125
3687048000000,0.002402322642505169,0.93075
3717024000000,0.0023853585086762905,0.932125
3747000000000,0.002372628659941256,0.9315
3776976000000,0.0023572350097820164,0.932875
3806952000000,0.0023441348597407342,0.932875
3836928000000,0.0023315274687483907,0.932125
3866904000000,0.0023196052135899662,0.93325
3896880000000,0.0023019250724464653,0.93375
3926856000000,0.002286949099972844,0.934
3956832000000,0.002275414210744202,0.93425
3986808000000,0.002260501941666007,0.935375
4016784000000,0.0022456334391608834,0.935875
4046760000000,0.002235426062718034,0.9355
4076736000000,0.002222617940045893,0.936125
4106712000000,0.002206381721422076,0.937125
4136688000000,0.002195262017659843,0.937625
4166664000000,0.002178811002522707,0.93775
4196640000000,0.0021660824986174704,0.937125
4226616000000,0.0021523860655725,0.93875
4256592000000,0.00214254155382514,0.938375
4286568000000,0.002130316708236933,0.939125
4316544000000,0.002120291084982455,0.938875
4346520000000,0.0021028686538338663,0.9395
4376496000000,0.0020929198265075685,0.939125
4406472000000,0.0020785109912976624,0.939625
4436448000000,0.002068045905791223,0.940625
4466424000000,0.0020538493543863297,0.940625
4496400000000,0.002041798614896834,0.941125
4526376000000,0.0020281794080510736,0.94175
4556352000000,0.002017377374693751,0.9415
4586328000000,0.002004538970068097,0.942
4616304000000,0.0019982115412130953,0.942125
4646280000000,0.001986550017260015,0.942125
4676256000000,0.0019722990849986672,0.94375
4706232000000,0.001963721498847008,0.942875
4736208000000,0.0019516589622944594,0.94375
4766184000000,0.0019420454548671842,0.9435
4796160000000,0.0019290290912613273,0.943875
4826136000000,0.00191591202840209,0.9445
4856112000000,0.0019039380168542265,0.9445
4886088000000,0.0018981107780709863,0.944625
4916064000000,0.001886048523709178,0.94475
4946040000000,0.001880267459899187,0.945
4976016000000,0.0018661146042868496,0.9445
5005992000000,0.0018543235873803496,0.94525
5035968000000,0.0018445973247289658,0.945875
5065944000000,0.0018359082546085118,0.945875
5095920000000,0.001823841285891831,0.946625
5125896000000,0.0018161524245515466,0.946875
5155872000000,0.0018036353066563607,0.9465
5185848000000,0.0017954169046133757,0.946875
5215824000000,0.001787205702625215,0.947125
5245800000000,0.0017734020687639714,0.947
5275776000000,0.0017689130753278733,0.94725
5305752000000,0.001760183527134359,0.947125
5335728000000,0.0017541602579876781,0.947625
5365704000000,0.0017416402772068977,0.948125
