FLOPs,Loss,Accuracy
29976000000,0.023033748418092727,0.1035
59952000000,0.02302251920104027,0.1035
89928000000,0.02301198461651802,0.1035
119904000000,0.023001865535974504,0.1035
149880000000,0.02299185037612915,0.1035
179856000000,0.02298167884349823,0.12425
209832000000,0.022971146494150163,0.194625
239808000000,0.022959990888834,0.16
269784000000,0.02294786736369133,0.12875
299760000000,0.02293424579501152,0.1185
329736000000,0.022918461680412294,0.116125
359712000000,0.02290025156736374,0.116
389688000000,0.02287964889407158,0.127
419664000000,0.022856074005365372,0.15825
449640000000,0.022828597396612166,0.192
479616000000,0.022795994371175767,0.223875
509592000000,0.022756726771593093,0.25275
539568000000,0.022708631038665772,0.276375
569544000000,0.022648474484682084,0.295125
599520000000,0.02257160231471062,0.310375
629496000000,0.022471070379018784,0.315875
659472000000,0.02233597791194916,0.31675
689448000000,0.022149052262306214,0.314
719424000000,0.021880836218595504,0.3025
749400000000,0.021492288678884506,0.288375
779376000000,0.02094637608528137,0.2845
809352000000,0.02024252651631832,0.296125
839328000000,0.019418779954314232,0.319125
869304000000,0.018488963708281517,0.35525
899280000000,0.017442719921469688,0.406125
929256000000,0.016275046199560165,0.468
959232000000,0.01495918071269989,0.553875
989208000000,0.013493205294013023,0.621375
1019184000000,0.012024460554122925,0.651625
1049160000000,0.010731992289423942,0.691625
1079136000000,0.009672860153019429,0.722375
1109112000000,0.008796858079731464,0.74725
1139088000000,0.008070148937404155,0.763875
1169064000000,0.007463988974690437,0.781125
1199040000000,0.006953198377043009,0.793125
1229016000000,0.006526517018675804,0.805
1258992000000,0.006167606074362993,0.8145
1288968000000,0.005868851736187935,0.821875
1318944000000,0.005614053841680288,0.831125
1348920000000,0.00539144242182374,0.837125
1378896000000,0.005221267122775316,0.840375
1408872000000,0.005066132850944996,0.8455
1438848000000,0.0049367790147662165,0.85025
1468824000000,0.004821366425603628,0.853125
1498800000000,0.004712728880345822,0.85775
1528776000000,0.004619225781410933,0.859
1558752000000,0.004536902081221342,0.863
1588728000000,0.00445355112478137,0.8645
1618704000000,0.004383329343050718,0.868625
1648680000000,0.004312575921416283,0.8715
1678656000000,0.00424910681694746,0.872625
1708632000000,0.004183969315141439,0.87475
1738608000000,0.004124732118099928,0.87775
1768584000000,0.004063621167093515,0.87825
1798560000000,0.004012151597067714,0.879625
1828536000000,0.003960593335330487,0.8805
1858512000000,0.003907999975606799,0.88275
1888488000000,0.0038571097012609244,0.884875
1918464000000,0.0038136759027838705,0.88675
1948440000000,0.0037761912867426872,0.88775
1978416000000,0.003731962377205491,0.887125
2008392000000,0.0036887917388230564,0.889
2038368000000,0.0036547611858695744,0.89025
2068344000000,0.003616925869137049,0.89125
2098320000000,0.0035841390080749986,0.892
2128296000000,0.0035435175560414793,0.892875
2158272000000,0.0035156159736216067,0.894625
2188248000000,0.0034885601568967104,0.896
2218224000000,0.003471422092989087,0.89575
2248200000000,0.0034358019568026064,0.898125
2278176000000,0.0034110344350337983,0.899125
2308152000000,0.003381816839799285,0.899625
