FLOPs,Loss,Accuracy
55176000000,0.023025563180446625,0.098875
110352000000,0.023022232145071028,0.113125
165528000000,0.023019588589668273,0.113125
220704000000,0.023017510414123536,0.113125
275880000000,0.023015852630138396,0.113125
331056000000,0.0230145423412323,0.113125
386232000000,0.023013488441705705,0.113125
441408000000,0.02301264727115631,0.113125
496584000000,0.023011980831623077,0.113125
551760000000,0.023011428028345108,0.113125
606936000000,0.023010985940694808,0.113125
662112000000,0.023010616898536684,0.113125
717288000000,0.023010305315256118,0.113125
772464000000,0.02301005455851555,0.113125
827640000000,0.023009833216667174,0.113125
882816000000,0.023009645730257034,0.113125
937992000000,0.023009482800960542,0.113125
993168000000,0.023009359687566757,0.113125
1048344000000,0.02300924289226532,0.113125
1103520000000,0.02300913318991661,0.113125
1158696000000,0.023009043484926224,0.113125
1213872000000,0.02300895443558693,0.113125
1269048000000,0.023008871406316758,0.113125
1324224000000,0.02300879156589508,0.113125
1379400000000,0.023008716285228728,0.113125
1434576000000,0.02300864765048027,0.113125
1489752000000,0.023008578598499297,0.113125
1544928000000,0.02300850886106491,0.113125
1600104000000,0.023008443623781204,0.113125
1655280000000,0.02300838515162468,0.113125
1710456000000,0.02300833049416542,0.113125
1765632000000,0.023008277058601378,0.113125
1820808000000,0.02300822067260742,0.113125
1875984000000,0.023008160710334777,0.113125
1931160000000,0.023008101642131806,0.113125
1986336000000,0.023008047372102738,0.113125
2041512000000,0.023007987320423126,0.113125
2096688000000,0.023007924884557725,0.113125
2151864000000,0.023007861286401747,0.113125
2207040000000,0.023007800459861755,0.113125
2262216000000,0.023007735431194304,0.113125
2317392000000,0.02300767821073532,0.113125
2372568000000,0.023007622599601745,0.113125
2427744000000,0.023007556676864625,0.113125
2482920000000,0.023007489293813705,0.113125
2538096000000,0.023007428139448165,0.113125
2593272000000,0.02300736439228058,0.113125
2648448000000,0.0230073025226593,0.113125
2703624000000,0.023007239282131196,0.113125
2758800000000,0.02300718080997467,0.113125
2813976000000,0.023007115840911866,0.113125
2869152000000,0.023007045060396195,0.113125
2924328000000,0.023006981551647186,0.113125
2979504000000,0.023006915777921678,0.113125
3034680000000,0.023006851732730864,0.113125
3089856000000,0.02300679337978363,0.113125
3145032000000,0.023006726682186125,0.113125
3200208000000,0.023006648659706117,0.113125
3255384000000,0.023006569504737853,0.113125
3310560000000,0.02300649416446686,0.113125
3365736000000,0.02300641530752182,0.113125
3420912000000,0.02300633293390274,0.113125
3476088000000,0.02300625491142273,0.113125
3531264000000,0.023006180226802828,0.113125
3586440000000,0.023006095737218856,0.113125
3641616000000,0.023006007820367814,0.113125
3696792000000,0.02300592178106308,0.113125
3751968000000,0.02300583094358444,0.113125
3807144000000,0.0230057432949543,0.113125
3862320000000,0.023005640864372255,0.113125
3917496000000,0.02300554382801056,0.113125
3972672000000,0.023005445331335066,0.113125
4027848000000,0.02300534999370575,0.113125
4083024000000,0.02300524312257767,0.113125
4138200000000,0.023005146592855453,0.113125
4193376000000,0.023005033254623414,0.113125
4248552000000,0.02300492978096008,0.113125
4303728000000,0.023004813075065612,0.113125
4358904000000,0.02300469920039177,0.113125
4414080000000,0.023004586935043335,0.113125
4469256000000,0.023004454493522643,0.113125
4524432000000,0.023004325181245802,0.113125
4579608000000,0.023004200011491775,0.113125
4634784000000,0.023004066467285155,0.113125
4689960000000,0.023003941655158996,0.113125
4745136000000,0.02300379902124405,0.113125
4800312000000,0.023003653883934022,0.113125
4855488000000,0.02300350534915924,0.113125
4910664000000,0.023003346025943755,0.113125
4965840000000,0.023003189593553543,0.113125
5021016000000,0.023003018617630006,0.113125
5076192000000,0.023002848237752914,0.113125
5131368000000,0.023002672284841538,0.113125
5186544000000,0.02300248748064041,0.113125
5241720000000,0.023002304673194886,0.113125
5296896000000,0.02300209981203079,0.113125
5352072000000,0.023001897603273393,0.113125
5407248000000,0.023001685738563538,0.113125
5462424000000,0.023001466423273085,0.113125
5517600000000,0.023001230239868165,0.113125
5572776000000,0.023000981867313385,0.113125
5627952000000,0.02300072818994522,0.113125
5683128000000,0.02300046446919441,0.113125
5738304000000,0.023000199496746063,0.113125
5793480000000,0.02299991050362587,0.113125
5848656000000,0.022999601989984512,0.113125
5903832000000,0.022999281883239745,0.113125
5959008000000,0.02299895489215851,0.113125
6014184000000,0.02299860382080078,0.113125
6069360000000,0.022998231709003447,0.113125
6124536000000,0.02299784171581268,0.113125
6179712000000,0.02299743366241455,0.113125
6234888000000,0.02299700176715851,0.113125
6290064000000,0.022996524125337602,0.113125
6345240000000,0.022996030151844024,0.113125
6400416000000,0.022995496809482575,0.113125
6455592000000,0.022994922697544096,0.113125
6510768000000,0.02299433359503746,0.113125
6565944000000,0.02299369716644287,0.113125
6621120000000,0.0229930157661438,0.113125
6676296000000,0.022992287069559098,0.113125
6731472000000,0.022991498559713365,0.113125
6786648000000,0.022990637451410292,0.113125
6841824000000,0.022989710211753844,0.113125
6897000000000,0.0229886953830719,0.113125
6952176000000,0.022987592548131944,0.113125
7007352000000,0.02298639240860939,0.113125
7062528000000,0.022985072165727614,0.113125
7117704000000,0.02298362198472023,0.113125
7172880000000,0.0229820137321949,0.113125
7228056000000,0.022980223029851914,0.113125
7283232000000,0.02297821080684662,0.113125
7338408000000,0.022975944370031358,0.113125
7393584000000,0.022973382085561753,0.113125
7448760000000,0.022970450043678283,0.113125
7503936000000,0.022967090636491775,0.113125
7559112000000,0.022963184505701065,0.113125
7614288000000,0.022958604365587235,0.113125
7669464000000,0.022953191131353377,0.113125
7724640000000,0.022946705043315887,0.113125
7779816000000,0.02293880233168602,0.113125
7834992000000,0.02292903086543083,0.113125
7890168000000,0.022916693091392517,0.115375
7945344000000,0.022900750160217285,0.126625
8000520000000,0.022879514306783675,0.147375
8055696000000,0.022850195467472075,0.17075
8110872000000,0.022807819843292235,0.1895
8166048000000,0.022742801189422606,0.201875
8221224000000,0.022634948551654814,0.20775
8276400000000,0.02243670818209648,0.209375
8331576000000,0.022026856929063796,0.2105
8386752000000,0.021158601462841035,0.211
8441928000000,0.019952165365219116,0.21175
8497104000000,0.0191551206856966,0.213
8552280000000,0.018608397364616395,0.214375
8607456000000,0.018212566494941712,0.217125
8662632000000,0.01794284914433956,0.21875
8717808000000,0.017748590111732482,0.213625
8772984000000,0.01760258476436138,0.216875
8828160000000,0.01748759752511978,0.2195
8883336000000,0.01739889033138752,0.223375
8938512000000,0.01732737149298191,0.22825
8993688000000,0.017265066042542458,0.229875
9048864000000,0.017207567572593688,0.23725
9104040000000,0.017146435126662255,0.24325
9159216000000,0.0170877852588892,0.252125
9214392000000,0.017016520366072655,0.260125
9269568000000,0.01694781957566738,0.267625
9324744000000,0.01686116848886013,0.280625
