FLOPs,Loss,Accuracy
19176000000,0.020815664142370224,0.598125
38352000000,0.018689359799027444,0.724
57528000000,0.016548099577426912,0.753625
76704000000,0.014545038804411888,0.76975
95880000000,0.012822107404470444,0.783125
115056000000,0.011417190223932266,0.795125
134232000000,0.010292584568262101,0.807625
153408000000,0.009390622064471246,0.81775
172584000000,0.008661832489073276,0.825
191760000000,0.008064622819423675,0.831875
210936000000,0.007568262383341789,0.838375
230112000000,0.007150893054902553,0.844375
249288000000,0.006795495040714741,0.850125
268464000000,0.0064890230931341645,0.855
287640000000,0.006222871284931898,0.85925
306816000000,0.005988334216177464,0.86325
325992000000,0.005781378109008074,0.86725
345168000000,0.00559626317024231,0.870875
364344000000,0.005430309917777777,0.873125
383520000000,0.0052805723622441295,0.876
402696000000,0.005145241059362888,0.878125
421872000000,0.005020967651158571,0.88
441048000000,0.004907535050064325,0.881875
460224000000,0.004803437624126673,0.883
479400000000,0.00470837289467454,0.885
498576000000,0.00461974973231554,0.885625
517752000000,0.004537837710231542,0.886625
536928000000,0.004461080737411976,0.88775
556104000000,0.004390743855386972,0.88875
575280000000,0.004324634470045567,0.889875
594456000000,0.004262379501014948,0.8905
613632000000,0.004204569425433874,0.8925
632808000000,0.004150185171514749,0.893
651984000000,0.004099047556519508,0.893375
671160000000,0.00405078343115747,0.89475
690336000000,0.004005072481930256,0.896125
709512000000,0.00396188909932971,0.897
728688000000,0.003920876424759626,0.8975
747864000000,0.0038821326959878207,0.898
767040000000,0.0038449870869517325,0.89875
786216000000,0.0038096216674894092,0.899
805392000000,0.003776148024946451,0.9
824568000000,0.0037437966149300337,0.901
843744000000,0.003713846027851105,0.901375
862920000000,0.0036849524434655907,0.90175
882096000000,0.003656588414683938,0.902375
901272000000,0.0036298769935965538,0.902625
920448000000,0.003603812847286463,0.902875
939624000000,0.003579190514981747,0.90375
958800000000,0.0035555753074586393,0.904
977976000000,0.0035323328133672477,0.904375
997152000000,0.003510119829326868,0.904875
1016328000000,0.0034890085887163877,0.905125
1035504000000,0.0034681737534701823,0.9055
1054680000000,0.0034484244417399166,0.905875
1073856000000,0.00342909543402493,0.906
1093032000000,0.003410385586321354,0.906375
1112208000000,0.003392204212024808,0.906375
1131384000000,0.003374824209138751,0.9075
1150560000000,0.0033576368633657693,0.907875
1169736000000,0.0033415506035089494,0.9085
1188912000000,0.0033252400010824203,0.909
1208088000000,0.003309486972168088,0.909125
1227264000000,0.00329445456340909,0.90925
1246440000000,0.003279385879635811,0.9095
1265616000000,0.0032646673135459424,0.90975
1284792000000,0.003250644104555249,0.9095
1303968000000,0.003237187610939145,0.90975
1323144000000,0.003223892167210579,0.91025
1342320000000,0.003211091132834554,0.910125
1361496000000,0.003198649503290653,0.91075
1380672000000,0.00318633733317256,0.910875
1399848000000,0.0031735687032341956,0.911
1419024000000,0.003161579789593816,0.911625
1438200000000,0.0031502162702381612,0.911625
1457376000000,0.003139110714197159,0.912
1476552000000,0.0031278654597699644,0.91225
1495728000000,0.0031174641512334345,0.912625
1514904000000,0.003106486242264509,0.913
1534080000000,0.0030956015456467868,0.913375
1553256000000,0.003085348084568977,0.913625
1572432000000,0.003075598517432809,0.9135
1591608000000,0.0030659598540514706,0.913875
1610784000000,0.003055908827111125,0.91425
1629960000000,0.0030463172048330305,0.914625
1649136000000,0.0030366788748651743,0.914625
1668312000000,0.0030276303477585315,0.915
1687488000000,0.0030186894554644823,0.91525
1706664000000,0.00300996907427907,0.9155
1725840000000,0.0030009505096822977,0.91525
1745016000000,0.002992567528039217,0.915875
1764192000000,0.002983808932825923,0.915875
1783368000000,0.002975689398124814,0.915875
1802544000000,0.0029671061169356107,0.915875
1821720000000,0.002959028331562877,0.915625
