FLOPs,Loss,Accuracy
19176000000,0.02124228924512863,0.52725
38352000000,0.019294670328497885,0.701875
57528000000,0.017180987641215326,0.75
76704000000,0.015018357738852501,0.772875
95880000000,0.013028647869825364,0.7855
115056000000,0.011357881024479866,0.80375
134232000000,0.01002825155854225,0.81875
153408000000,0.008990371912717818,0.829375
172584000000,0.008177068822085857,0.83725
191760000000,0.007535633385181427,0.845375
210936000000,0.007017997957766056,0.85275
230112000000,0.0065955049060285095,0.85775
249288000000,0.006243870783597231,0.86175
268464000000,0.005948202889412641,0.866
287640000000,0.005694750219583511,0.8685
306816000000,0.0054755127876997,0.871375
325992000000,0.00528415035828948,0.874
345168000000,0.005116912480443716,0.87675
364344000000,0.004968264851719141,0.88025
383520000000,0.004835972648113966,0.881625
402696000000,0.004716699618846178,0.88325
421872000000,0.004609267596155405,0.885
441048000000,0.0045115756317973136,0.88625
460224000000,0.004423588387668133,0.88725
479400000000,0.004341567657887935,0.88875
498576000000,0.0042679841592907905,0.889875
517752000000,0.004201122062280774,0.889875
536928000000,0.004137478029355407,0.89125
556104000000,0.004079444441944361,0.892375
575280000000,0.00402475256472826,0.893625
594456000000,0.0039747239965945485,0.89425
613632000000,0.003928757924586535,0.895375
632808000000,0.003883870789781213,0.89575
651984000000,0.0038441219367086887,0.896375
671160000000,0.00380504072830081,0.897125
690336000000,0.0037690534740686416,0.89775
709512000000,0.003735319171100855,0.898375
728688000000,0.0037022685613483193,0.89875
747864000000,0.003671566078439355,0.899625
767040000000,0.003642521381378174,0.90025
786216000000,0.003615719210356474,0.900875
805392000000,0.0035893161091953515,0.901125
824568000000,0.0035638278182595967,0.902125
843744000000,0.0035415525864809752,0.90225
862920000000,0.0035182392597198488,0.90225
882096000000,0.003496819894760847,0.902875
901272000000,0.0034753784481436015,0.903625
920448000000,0.0034561504889279605,0.904125
939624000000,0.0034362631402909756,0.9045
958800000000,0.0034191361647099255,0.905
977976000000,0.003401622470468283,0.905375
997152000000,0.003384554659947753,0.906125
1016328000000,0.0033687158804386855,0.9065
1035504000000,0.0033531238529831173,0.907
1054680000000,0.003336897399276495,0.90675
1073856000000,0.0033236709963530304,0.907
1093032000000,0.003309195436537266,0.9075
1112208000000,0.0032956385873258113,0.908125
1131384000000,0.0032829343527555465,0.908125
1150560000000,0.0032704889085143803,0.90825
1169736000000,0.0032578720487654207,0.909
1188912000000,0.003246239552274346,0.908625
1208088000000,0.0032345110345631837,0.909125
1227264000000,0.0032247292771935463,0.90925
1246440000000,0.0032125535551458598,0.90975
1265616000000,0.003202131113037467,0.909875
1284792000000,0.003191367167979479,0.91
1303968000000,0.003181624097749591,0.910875
1323144000000,0.003172673862427473,0.911
1342320000000,0.0031626684851944445,0.911125
1361496000000,0.0031548358667641877,0.911125
1380672000000,0.0031451115068048237,0.91125
1399848000000,0.003136993300169706,0.911375
1419024000000,0.0031275965496897697,0.9115
1438200000000,0.0031198240276426076,0.912
1457376000000,0.0031113814320415257,0.911875
1476552000000,0.0031035473830997944,0.912125
1495728000000,0.003097411759197712,0.912125
1514904000000,0.0030895702317357064,0.912375
1534080000000,0.0030816727727651597,0.91275
1553256000000,0.0030744562204927206,0.9125
1572432000000,0.0030670790802687408,0.91275
1591608000000,0.00305979897454381,0.913375
1610784000000,0.0030543220099061726,0.9135
1629960000000,0.003047076905146241,0.914125
1649136000000,0.003040528364479542,0.914375
1668312000000,0.0030345545168966055,0.914875
1687488000000,0.0030291438885033132,0.914875
1706664000000,0.0030224979650229217,0.915
1725840000000,0.0030175156891345976,0.915375
1745016000000,0.0030113255511969327,0.915625
1764192000000,0.0030060743000358344,0.915375
1783368000000,0.0030000683795660733,0.915875
