FLOPs,Loss,Accuracy
52603200000,0.023022419631481172,0.098
105206400000,0.023019833862781523,0.098
157809600000,0.023017572671175004,0.098
210412800000,0.023015591353178023,0.12025
263016000000,0.023013844788074493,0.1145
315619200000,0.023012301117181777,0.1145
368222400000,0.023010927468538285,0.1145
420825600000,0.02300970658659935,0.1145
473428800000,0.023008611083030702,0.1145
526032000000,0.023007623225450517,0.1145
578635200000,0.02300672870874405,0.1145
631238400000,0.023005912631750107,0.1145
683841600000,0.02300516903400421,0.1145
736444800000,0.023004479527473448,0.1145
789048000000,0.023003843039274215,0.1145
841651200000,0.02300324469804764,0.1145
894254400000,0.02300268092751503,0.1145
946857600000,0.023002150237560273,0.1145
999460800000,0.02300163847208023,0.1145
1052064000000,0.023001148819923403,0.1145
1104667200000,0.023000674068927765,0.1145
1157270400000,0.02300020930171013,0.1145
1209873600000,0.022999751418828963,0.1145
1262476800000,0.022999303191900255,0.1145
1315080000000,0.022998859614133834,0.1145
1367683200000,0.022998417019844054,0.1145
1420286400000,0.022997976243495942,0.1145
1472889600000,0.02299753475189209,0.1145
1525492800000,0.022997090727090837,0.1145
1578096000000,0.02299664142727852,0.1145
1630699200000,0.022996188253164292,0.1145
1683302400000,0.02299573200941086,0.1145
1735905600000,0.022995266675949096,0.1145
1788508800000,0.022994793981313707,0.1145
1841112000000,0.022994314104318618,0.1145
1893715200000,0.02299382582306862,0.1145
1946318400000,0.02299332770705223,0.1145
1998921600000,0.022992817521095277,0.1145
2051524800000,0.02299229481816292,0.1145
2104128000000,0.02299176061153412,0.1145
2156731200000,0.022991215407848358,0.1145
2209334400000,0.02299065735936165,0.1145
2261937600000,0.02299008321762085,0.1145
2314540800000,0.0229894979596138,0.1145
2367144000000,0.022988892138004303,0.1145
2419747200000,0.022988273531198502,0.1145
2472350400000,0.02298763421177864,0.1145
2524953600000,0.022986980527639388,0.1145
2577556800000,0.022986306220293046,0.1145
2630160000000,0.022985611468553543,0.1145
2682763200000,0.022984896540641786,0.1145
2735366400000,0.022984159678220747,0.1145
2787969600000,0.022983400583267213,0.1145
2840572800000,0.02298261681199074,0.1145
2893176000000,0.02298180866241455,0.1145
2945779200000,0.022980975180864335,0.1145
2998382400000,0.022980113357305525,0.1145
3050985600000,0.022979222774505616,0.1145
3103588800000,0.022978302627801896,0.1145
3156192000000,0.022977348327636718,0.1145
3208795200000,0.022976361334323882,0.1145
3261398400000,0.02297534018754959,0.1145
3314001600000,0.0229742791056633,0.1145
3366604800000,0.022973179936408995,0.1145
3419208000000,0.022972039848566054,0.1145
3471811200000,0.022970848828554154,0.1145
3524414400000,0.022969615042209627,0.1145
3577017600000,0.022968332707881928,0.1145
3629620800000,0.02296699470281601,0.1145
3682224000000,0.022965601295232774,0.1145
3734827200000,0.02296414950489998,0.1145
3787430400000,0.02296263363957405,0.1145
3840033600000,0.022961048603057862,0.1145
3892636800000,0.0229593887925148,0.1145
3945240000000,0.02295765373110771,0.1145
3997843200000,0.022955840826034545,0.1145
4050446400000,0.02295393532514572,0.1145
4103049600000,0.02295194047689438,0.1145
4155652800000,0.022949841260910035,0.1145
4208256000000,0.022947634816169737,0.1145
4260859200000,0.02294531038403511,0.1145
4313462400000,0.02294285351037979,0.1145
4366065600000,0.022940266251564027,0.1145
4418668800000,0.022937526673078537,0.1145
4471272000000,0.022934637278318404,0.1145
4523875200000,0.022931562334299087,0.1145
4576478400000,0.0229283030629158,0.1145
4629081600000,0.02292482829093933,0.1145
4681684800000,0.022921142041683197,0.1145
4734288000000,0.022917189627885817,0.1145
4786891200000,0.0229129738509655,0.1145
4839494400000,0.022908456981182098,0.1145
4892097600000,0.022903589069843293,0.1145
4944700800000,0.022898349344730378,0.1145
4997304000000,0.022892705589532852,0.1145
5049907200000,0.022886601001024246,0.1145
5102510400000,0.022879964739084244,0.1145
5155113600000,0.022872716575860978,0.1145
5207716800000,0.022864814460277556,0.1145
5260320000000,0.02285614803433418,0.1145
5312923200000,0.022846579015254973,0.114875
5365526400000,0.02283598628640175,0.11575
5418129600000,0.022824201703071593,0.117875
5470732800000,0.022811026990413666,0.120375
5523336000000,0.02279617390036583,0.12625
5575939200000,0.022779327034950256,0.133625
5628542400000,0.022760053902864456,0.140375
5681145600000,0.022737812936306,0.14925
5733748800000,0.022711852580308913,0.159875
5786352000000,0.02268110913038254,0.173
5838955200000,0.022644229650497436,0.183875
5891558400000,0.022599132776260376,0.196625
5944161600000,0.02254269823431969,0.211125
5996764800000,0.02247002103924751,0.226625
6049368000000,0.022372872799634933,0.239625
6101971200000,0.022236139833927155,0.257125
6154574400000,0.02202937340736389,0.27725
6207177600000,0.02168125694990158,0.3025
6259780800000,0.020991751402616502,0.3325
6312384000000,0.01944960282742977,0.363625
6364987200000,0.016281979262828827,0.50125
6417590400000,0.010690030038356781,0.689625
6470193600000,0.007708108246326446,0.764875
6522796800000,0.006417897757142782,0.80225
6575400000000,0.005705632351338864,0.833125
